Trade #,Type       ,Signal     ,Date/Time          ,Price ,Contracts,Profit    ,ProfitPerc,ProfitEqPerc,ProfitEq ,RunUpPerc,RunUp    ,DrawdownPerc,Drawdown
1      ,Entry Short,Enter Short,2013-12-08 01:00:00,28.15 ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2013-12-27 13:00:00,23.13 ,38.91    ,195.33    ,0.18      ,0.2         ,195.33   ,0.7      ,765.46   ,0.3         ,328.79
2      ,Entry Long ,Enter Long ,2013-12-27 13:00:00,23.13 ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2014-01-11 13:00:00,25.01 ,48.62    ,91.41     ,0.08      ,0.08        ,286.73   ,0.35     ,395.13   ,0.05        ,54.45
3      ,Entry Short,Enter Short,2014-01-11 13:00:00,25.01 ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2014-01-12 01:00:00,25.78 ,50.89    ,-39.19    ,-0.03     ,-0.03       ,247.55   ,0        ,0.17     ,0.1         ,132.82
4      ,Entry Long ,Enter Long ,2014-01-12 01:00:00,25.78 ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2014-01-14 01:00:00,24.81 ,45.01    ,-43.66    ,-0.04     ,-0.03       ,203.89   ,0.03     ,30.16    ,0.07        ,80.12
5      ,Entry Short,Enter Short,2014-01-14 01:00:00,24.81 ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2014-03-05 13:00:00,16.49 ,48.08    ,400.03    ,0.34      ,0.33        ,603.91   ,0.55     ,657.66   ,0.03        ,33.18
6      ,Entry Long ,Enter Long ,2014-03-05 13:00:00,16.49 ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2014-03-22 13:00:00,16.26 ,96.98    ,-22.31    ,-0.01     ,-0.01       ,581.61   ,0.24     ,388.89   ,0.07        ,115.37
7      ,Entry Short,Enter Short,2014-03-22 13:00:00,16.26 ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2014-04-16 14:00:00,12.59 ,96.3     ,353.42    ,0.23      ,0.22        ,935.03   ,0.44     ,687.13   ,0.06        ,98.23
8      ,Entry Long ,Enter Long ,2014-04-16 14:00:00,12.59 ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2014-04-23 14:00:00,11.67 ,141      ,-129.72   ,-0.07     ,-0.07       ,805.31   ,0.07     ,126.15   ,0.6         ,1070.19
9      ,Entry Short,Enter Short,2014-04-23 14:00:00,11.67 ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2014-05-22 14:00:00,10.76 ,152.09   ,138.4     ,0.08      ,0.08        ,943.71   ,0.15     ,270.72   ,0.1         ,184.66
10     ,Entry Long ,Enter Long ,2014-05-22 14:00:00,10.76 ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2014-06-05 02:00:00,11.17 ,176.35   ,72.3      ,0.04      ,0.04        ,1016.02  ,0.18     ,342.12   ,0.11        ,211.6
11     ,Entry Short,Enter Short,2014-06-05 02:00:00,11.17 ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2014-10-21 14:00:00,3.98  ,178.72   ,1285      ,0.64      ,0.64        ,2301.01  ,0.7      ,1402.46  ,0.03        ,51.48
12     ,Entry Long ,Enter Long ,2014-10-21 14:00:00,3.98  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2014-10-23 14:00:00,3.85  ,886.71   ,-115.27   ,-0.03     ,-0.03       ,2185.74  ,0        ,2.92     ,0.07        ,232.41
13     ,Entry Short,Enter Short,2014-10-23 14:00:00,3.85  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2014-11-20 13:00:00,3.81  ,817.11   ,32.68     ,0.01      ,0.01        ,2218.42  ,0.2      ,626.7    ,0.1         ,325.23
14     ,Entry Long ,Enter Long ,2014-11-20 13:00:00,3.81  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2014-12-03 13:00:00,3.56  ,889.78   ,-222.44   ,-0.07     ,-0.07       ,1995.98  ,0.03     ,113.11   ,0.12        ,405.36
15     ,Entry Short,Enter Short,2014-12-03 13:00:00,3.56  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2015-02-03 01:00:00,2.09  ,833.12   ,1224.69   ,0.41      ,0.41        ,3220.67  ,0.66     ,1966.16  ,0.07        ,212
16     ,Entry Long ,Enter Long ,2015-02-03 01:00:00,2.09  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2015-02-27 13:00:00,1.67  ,1905.94  ,-800.49   ,-0.2      ,-0.19       ,2420.17  ,0        ,0        ,0.28        ,1124.5
17     ,Entry Short,Enter Short,2015-02-27 13:00:00,1.67  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2015-03-08 13:00:00,1.91  ,2043.46  ,-490.43   ,-0.14     ,-0.14       ,1929.74  ,0        ,0        ,0.21        ,726.63
18     ,Entry Long ,Enter Long ,2015-03-08 13:00:00,1.91  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2015-03-19 13:00:00,1.81  ,1484.69  ,-148.47   ,-0.05     ,-0.05       ,1781.27  ,0.09     ,247.07   ,0.08        ,222.7
19     ,Entry Short,Enter Short,2015-03-19 13:00:00,1.81  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2015-04-25 14:00:00,1.66  ,1522.7   ,228.41    ,0.08      ,0.08        ,2009.68  ,0.76     ,2086.08  ,0.71        ,1964.28
20     ,Entry Long ,Enter Long ,2015-04-25 14:00:00,1.66  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2015-05-03 14:00:00,1.48  ,1490.35  ,-268.26   ,-0.11     ,-0.09       ,1741.41  ,4.12     ,10193.99 ,0.25        ,606.57
21     ,Entry Short,Enter Short,2015-05-03 14:00:00,1.48  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2015-05-10 14:00:00,1.72  ,1833.27  ,-439.98   ,-0.16     ,-0.16       ,1301.43  ,0.07     ,186.85   ,1.12        ,3043.23
22     ,Entry Long ,Enter Long ,2015-05-10 14:00:00,1.72  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2015-05-11 14:00:00,1.57  ,1264.07  ,-189.61   ,-0.09     ,-0.08       ,1111.82  ,0.16     ,353.94   ,0.15        ,316.02
23     ,Entry Short,Enter Short,2015-05-11 14:00:00,1.57  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2015-05-25 02:00:00,1.76  ,1337.11  ,-254.05   ,-0.12     ,-0.12       ,857.77   ,0.08     ,173.77   ,0.21        ,441.25
24     ,Entry Long ,Enter Long ,2015-05-25 02:00:00,1.76  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2015-07-14 02:00:00,4.74  ,1048.37  ,3124.14   ,1.69      ,1.68        ,3981.91  ,3.99     ,7371.2   ,0.07        ,136.29
25     ,Entry Short,Enter Short,2015-07-14 02:00:00,4.74  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2015-07-28 02:00:00,4.57  ,1040.59  ,176.9     ,0.04      ,0.04        ,4158.81  ,0.3      ,1467.24  ,0.06        ,312.18
26     ,Entry Long ,Enter Long ,2015-07-28 02:00:00,4.57  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2015-08-08 14:00:00,4.06  ,1069.31  ,-545.35   ,-0.11     ,-0.11       ,3613.46  ,0.13     ,622.14   ,0.14        ,694.69
27     ,Entry Short,Enter Short,2015-08-08 14:00:00,4.06  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2015-09-12 14:00:00,2.97  ,1126.72  ,1228.12   ,0.27      ,0.27        ,4841.59  ,0.35     ,1593.68  ,0.04        ,173.39
28     ,Entry Long ,Enter Long ,2015-09-12 14:00:00,2.97  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2015-09-13 14:00:00,2.85  ,1946.9   ,-233.63   ,-0.04     ,-0.04       ,4607.96  ,0        ,3.01     ,0.06        ,330.97
29     ,Entry Short,Enter Short,2015-09-13 14:00:00,2.85  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2015-09-23 02:00:00,2.88  ,1948.39  ,-58.45    ,-0.01     ,-0.01       ,4549.51  ,0.1      ,564.84   ,0.05        ,292.26
30     ,Entry Long ,Enter Long ,2015-09-23 02:00:00,2.88  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2015-10-20 14:00:00,3.01  ,1891.74  ,245.93    ,0.05      ,0.04        ,4795.43  ,0.18     ,1006.41  ,0.04        ,212.69
31     ,Entry Short,Enter Short,2015-10-20 14:00:00,3.01  ,         ,          ,          ,            ,         ,         ,         ,            ,
